AppID,Name,Tag,Developers,Publishers,Positive Reviews,Negative Reviews,Median Owners,Average Playtime,Median Playtime,CCU,Price,Initial Price,Discount
578080,PUBG BATTLEGROUNDS,Indie,KRAFTON Inc,KRAFTON Inc,1349921,971098,75000000,23319,5307,552438,0.00,0.00,0
1623730,Palworld,Indie,Pocketpair,Pocketpair,263249,16783,75000000,2805,1782,111177,29.99,29.99,0
252490,Rust,Indie,Facepunch Studios,Facepunch Studios,903173,133756,35000000,25735,3083,87862,39.99,39.99,0
304930,Unturned,Indie,Smartly Dressed Games,Smartly Dressed Games,490263,45451,35000000,7605,284,54865,0.00,0.00,0
105600,Terraria,Indie,ReLogic,ReLogic,1231267,29678,35000000,7682,2290,27751,9.99,9.99,0
291550,Brawlhalla,Indie,Blue Mammoth Games,Ubisoft,295384,62042,35000000,3401,214,16200,0.00,0.00,0
4000,Garrys Mod,Indie,Facepunch Studios,Valve,1017436,34246,35000000,11563,1414,22156,9.99,9.99,0
431960,Wallpaper Engine,Indie,Wallpaper Engine Team,Wallpaper Engine Team,742177,14692,35000000,3932,904,103547,3.99,3.99,0
346110,ARK Survival Evolved,Indie,Studio Wildcard Instinct Games Efecto Studios Virtual Basement LLC,Studio Wildcard Snail Games USA,567127,114748,35000000,10800,846,26137,14.99,14.99,0
945360,Among Us,Indie,Innersloth,Innersloth,624349,55859,35000000,1503,636,5063,2.99,4.99,40
892970,Valheim,Indie,Iron Gate AB,Coffee Stain Publishing,419409,23158,35000000,4241,1512,21856,19.99,19.99,0
238960,Path of Exile,Indie,Grinding Gear Games,Grinding Gear Games,193147,24126,35000000,6839,316,10679,0.00,0.00,0
413150,Stardew Valley,Indie,ConcernedApe,ConcernedApe,646958,11528,35000000,4171,1510,46788,14.99,14.99,0
322330,Dont Starve Together,Indie,Klei Entertainment,Klei Entertainment,426744,18954,35000000,3236,511,33679,14.99,14.99,0
1097150,Fall Guys Ultimate Knockout,Indie,Mediatonic,Ravenscourt,387811,89154,35000000,1438,540,1485,0.00,0.00,0
272060,Serena,Indie,Senscape,Senscape,4895,1453,15000000,62,2,4,0.00,0.00,0
227300,Euro Truck Simulator ,Indie,SCS Software,SCS Software,725395,19123,15000000,5707,1593,31070,19.99,19.99,0
227940,Heroes  Generals,Indie,TLM Partners,TLM Partners,96635,46969,15000000,849,76,12,0.00,0.00,0
739630,Phasmophobia,Indie,Kinetic Games,Kinetic Games,636088,26313,15000000,1783,727,13400,13.99,13.99,0
252950,Rocket League,Indie,Psyonix LLC,Psyonix LLC,507706,69553,15000000,16826,2193,33003,0.00,0.00,0
648800,Raft,Indie,Redbeet Interactive,Axolot Games,283894,19405,15000000,1559,1013,7794,19.99,19.99,0
301520,Robocraft,Indie,Freejam,Freejam,86640,32165,15000000,1835,221,150,0.00,0.00,0
108600,Project Zomboid,Indie,The Indie Stone,The Indie Stone,264168,16515,15000000,3343,735,25201,19.99,19.99,0
477160,Human Fall Flat,Indie,No Brakes Games,Curve Games,187244,10435,15000000,758,360,4671,5.99,19.99,70
251570, Days to Die,Indie,The Fun Pimps,The Fun Pimps Entertainment LLC,267468,34931,15000000,5844,1511,25714,24.99,24.99,0
417910,Street Warriors Online,Indie,Crazy Rocks Studios,Crazy Rocks Studios,953,691,15000000,121,32,0,1.99,1.99,0
367520,Hollow Knight,Indie,Team Cherry,Team Cherry,328578,9561,15000000,1592,769,5799,14.99,14.99,0
250900,The Binding of Isaac Rebirth,Indie,Nicalis Inc Edmund McMillen,Nicalis Inc,273498,6846,15000000,9494,3781,22024,14.99,14.99,0
532210,Life is Strange ,Indie,DONTNOD Entertainment Feral Interactive Mac Feral Interactive Linux,Square Enix Feral Interactive Mac Feral Interactive Linux,27198,4648,15000000,439,196,164,31.96,31.96,0
96000,The Tiny Bang Story,Indie,Colibri Games,Colibri Games,5490,778,7500000,298,304,7,4.99,4.99,0
204360,Castle Crashers,Indie,The Behemoth,The Behemoth,103845,4074,7500000,521,271,432,14.99,14.99,0
221100,DayZ,Indie,Bohemia Interactive,Bohemia Interactive,287587,94555,7500000,9140,1913,41593,44.99,44.99,0
224260,No More Room in Hell,Indie,No More Room in Hell Team,Lever Games,63156,7086,7500000,411,98,528,0.00,0.00,0
489520,Minion Masters,Indie,BetaDwarf,BetaDwarf,56308,6331,7500000,611,127,545,0.00,0.00,0
466240,Deceit,Indie,World Makers,World Makers,72900,18994,7500000,510,106,844,0.00,0.00,0
370910,Kathy Rain,Indie,Clifftop Games,Raw Fury,3368,281,7500000,1605,271,2,9.99,9.99,0
632360,Risk of Rain ,Indie,Hopoo Games,Gearbox Publishing,256070,9870,7500000,3843,1382,6857,24.99,24.99,0
275390,Guacamelee Super Turbo Championship Edition,Indie,DrinkBox Studios,DrinkBox Studios,5965,482,7500000,202,90,11,14.99,14.99,0
278360,A Story About My Uncle,Indie,Gone North Games,Coffee Stain Publishing,26197,2358,7500000,825,238,10,14.99,14.99,0
322170,Geometry Dash,Indie,RobTop Games,RobTop Games,316084,22020,7500000,4309,421,19048,3.99,3.99,0
275850,No Mans Sky,Indie,Hello Games,Hello Games,232916,58878,7500000,2802,991,6602,59.99,59.99,0
427520,Factorio,Indie,Wube Software LTD,Wube Software LTD,174936,6064,7500000,8163,2782,13950,35.00,35.00,0
219990,Grim Dawn,Indie,Crate Entertainment,Crate Entertainment,85668,5721,7500000,2931,820,3187,24.99,24.99,0
700330,SCP Secret Laboratory,Indie,Northwood Studios,Northwood Studios,170390,15328,7500000,1930,67,6574,0.00,0.00,0
387990,Scrap Mechanic,Indie,Axolot Games,Axolot Games,97617,7632,7500000,3244,826,1682,19.99,19.99,0
899770,Last Epoch,Indie,Eleventh Hour Games,Eleventh Hour Games,65351,19412,7500000,4302,1719,103832,34.99,34.99,0
242760,The Forest,Indie,Endnight Games Ltd,Endnight Games Ltd,507758,23911,7500000,1586,819,5170,19.99,19.99,0
219640,Chivalry Medieval Warfare,Indie,Torn Banner Studios,Torn Banner Studios,54401,11519,7500000,623,249,72,24.99,24.99,0
363970,Clicker Heroes,Indie,Playsaurus,Playsaurus,53898,6130,7500000,6579,432,2538,0.00,0.00,0
225840,Sven Coop,Indie,Sven Coop team,Sven Coop team,27566,1858,7500000,1832,108,354,0.00,0.00,0
1794680,Vampire Survivors,Indie,poncle,poncle,222716,3230,7500000,1932,1277,4800,4.99,4.99,0
319630,Life is Strange  Episode ,Indie,DONTNOD Entertainment Feral Interactive Mac Feral Interactive Linux,Square Enix Feral interactive Mac Feral Interactive Linux,157299,6271,7500000,368,156,241,0.00,0.00,0
264710,Subnautica,Indie,Unknown Worlds Entertainment,Unknown Worlds Entertainment,253882,8398,7500000,2235,1111,2745,29.99,29.99,0
238460,BattleBlock Theater,Indie,The Behemoth,The Behemoth,67852,1916,7500000,438,250,117,14.99,14.99,0
526870,Satisfactory,Indie,Coffee Stain Studios,Coffee Stain Publishing,150240,4616,7500000,3930,1858,8690,29.99,29.99,0
646570,Slay the Spire,Indie,Mega Crit Games,Mega Crit Games,146632,3201,7500000,5695,3250,17890,24.99,24.99,0
1145360,Hades,Indie,Supergiant Games,Supergiant Games,242706,3822,7500000,2323,1255,3911,24.99,24.99,0
233450,Prison Architect,Indie,Double Eleven Introversion Software,Paradox Interactive,61522,7131,7500000,2241,758,1012,29.99,29.99,0
629760,MORDHAU,Indie,Triternion,Triternion,88876,21486,7500000,4786,1305,1312,29.99,29.99,0
677620,Splitgate Arena Warfare,Indie,Games, Games,101566,9432,7500000,527,294,284,0.00,0.00,0
346900,AdVenture Capitalist,Indie,Hyper Hippo Games,Hyper Hippo Games,50094,6795,7500000,1193,316,981,0.00,0.00,0
435150,Divinity Original Sin   Definitive Edition,Indie,Larian Studios,Larian Studios,169491,7105,7500000,4987,2589,5230,44.99,44.99,0
244210,Assetto Corsa,Indie,Kunos Simulazioni,Kunos Simulazioni,109928,8773,7500000,2416,168,11152,19.99,19.99,0
555570,Infestation The New Z,Indie,Fredaikis AB,OP Productions LLC,18026,15607,7500000,1272,62,302,0.00,0.00,0
588650,Dead Cells,Indie,Motion Twin,Motion Twin,144163,4158,7500000,1941,1055,4879,24.99,24.99,0
273110,CounterStrike Nexon Studio,Indie,Valve NEXON,NEXON,27650,14013,7500000,2019,51,886,0.00,0.00,0
223710,Cry of Fear,Indie,Team Psykskallar,Team Psykskallar,51748,7097,7500000,311,53,715,0.00,0.00,0
698780,Doki Doki Literature Club,Indie,Team Salvato,Team Salvato,190007,6847,7500000,227,84,441,0.00,0.00,0
397900,Business Tour  Board Game with Online Multiplayer,Indie,Floor,Floor,43786,27930,7500000,544,276,1363,0.00,0.00,0
232770,POSTAL,Indie,Running With Scissors,Running With Scissors,7647,864,7500000,211,241,24,67.95,67.95,0
223470,POSTAL ,Indie,Running With Scissors,Running With Scissors,93932,3320,7500000,640,262,488,9.99,9.99,0
208090,Loadout,Indie,Edge of Reality,Edge of Reality,34378,5158,7500000,293,107,2,0.00,0.00,0
268910,Cuphead,Indie,Studio MDHR Entertainment Inc,Studio MDHR Entertainment Inc,150611,5596,7500000,1009,349,1273,19.99,19.99,0
15700,Oddworld Abes Oddysee,Indie,Oddworld Inhabitants,Oddworld Inhabitants,3566,603,7500000,233,212,14,2.99,2.99,0
1118200,People Playground,Indie,mestiez,Studio Minus,232650,3102,7500000,1954,241,5510,9.99,9.99,0
424840,Little Nightmares,Indie,Tarsier Studios,BANDAI NAMCO Entertainment,93350,5069,7500000,220,97,571,7.49,29.99,75
513710,SCUM,Indie,Gamepires,Jagex Ltd,74716,25705,7500000,7017,1263,18610,39.99,39.99,0
285800,Braveland,Indie,Tortuga Team,Tortuga Team,2482,550,7500000,1210,260,3,9.99,9.99,0
3590,Plants vs Zombies GOTY Edition,Indie,PopCap Games Inc,PopCap Games Inc Electronic Arts,119338,3009,7500000,1308,543,4715,4.99,4.99,0
48700,Mount  Blade Warband,Indie,TaleWorlds Entertainment,TaleWorlds Entertainment,154756,3575,7500000,8527,2987,10793,19.99,19.99,0
1332010,Stray,Indie,BlueTwelve Studio,Annapurna Interactive,131802,3673,3500000,409,379,375,29.99,29.99,0
294100,RimWorld,Indie,Ludeon Studios,Ludeon Studios,176215,3405,3500000,18111,3358,19261,34.99,34.99,0
391540,Undertale,Indie,tobyfox,tobyfox,212624,7361,3500000,634,325,718,9.99,9.99,0
252130,Divide By Sheep,Indie,Victor Solodilov Denis Novikov,tinyBuild,2340,233,3500000,120,62,2,4.99,4.99,0
211820,Starbound,Indie,Chucklefish,Chucklefish,150737,12073,3500000,3821,1172,1283,14.99,14.99,0
552500,Warhammer Vermintide ,Indie,Fatshark,Fatshark,101245,18358,3500000,1585,458,4178,5.99,29.99,80
238320,Outlast,Indie,Red Barrels,Red Barrels,108524,4013,3500000,317,147,295,19.99,19.99,0
